epoch,train_loss,valid_loss,accuracy,precision_score,recall_score,f1_score,time
0,1.657417893409729,1.2991647720336914,0.41196349263191223,0.36007292996058865,0.38738153256370883,0.2935425868090384,03:15
1,1.7450134754180908,1.2808411121368408,0.4204123020172119,0.36316393879935077,0.3945000635548109,0.29924265297789326,03:15
2,1.5303823947906494,1.2746042013168335,0.3967556655406952,0.370875812309946,0.41795828266826857,0.2955985743806085,03:15
3,1.5957822799682617,1.2572938203811646,0.4143291711807251,0.36528257169447037,0.4073090224070503,0.2990266307170932,03:15
4,1.4753057956695557,1.2335948944091797,0.44406893849372864,0.3707275328508937,0.4243988072457559,0.3165388030009038,03:15
5,1.5258803367614746,1.211997389793396,0.4734707772731781,0.3694471655059705,0.4182279811416382,0.3255330455557625,03:15
6,1.387174367904663,1.2073317766189575,0.4795539081096649,0.3741253581479942,0.423394399010252,0.33124321275684404,03:16
7,1.3153092861175537,1.212876796722412,0.4525177478790283,0.3691106311452854,0.4123089405124663,0.31772037585042284,03:17
8,1.3334769010543823,1.1919019222259521,0.45724907517433167,0.3722789229796599,0.4311468402185916,0.3230689892680822,03:16
9,1.3154027462005615,1.203973650932312,0.47313281893730164,0.371264927867008,0.41475792307030407,0.3256043323766382,03:15
