epoch,train_loss,valid_loss,accuracy,precision_score,recall_score,f1_score,time
0,1.4961936473846436,2.037432909011841,0.3776978552341461,0.37407758547816705,0.3778935087623583,0.36914797582409503,00:00
1,1.4506055116653442,1.9919188022613525,0.3992805778980255,0.39907426351849523,0.40264157735200706,0.38818976733319194,00:00
2,1.3973747491836548,1.8621536493301392,0.4082733690738678,0.4124475891473178,0.4124501296962684,0.3996331068896983,00:00
3,1.3364343643188477,1.765449047088623,0.4100719392299652,0.412501828844729,0.4120659492575107,0.4028419919901447,00:00
4,1.256767749786377,1.7851649522781372,0.4118705093860626,0.4148526248369538,0.4132316389741921,0.4070120760745905,00:00
5,1.1843178272247314,1.755767583847046,0.4316546618938446,0.4346887594698092,0.4318703420338557,0.4240170238806753,00:00
6,1.1214957237243652,1.7037155628204346,0.4208633005619049,0.4304685768828138,0.4236039279949806,0.4161941553296555,00:00
7,1.069913387298584,1.887040376663208,0.4568345248699188,0.45487363416968046,0.4582934784461849,0.44931734907003884,00:00
8,1.009859323501587,1.704990267753601,0.43705037236213684,0.4433909981302276,0.43990339401983064,0.43278008223292214,00:00
9,0.973702073097229,1.6528912782669067,0.4424460530281067,0.442907830759405,0.4465828737345537,0.43389968294266884,00:00
10,0.9311065077781677,1.7532472610473633,0.4460431635379791,0.4368362382259526,0.4437355475686431,0.43529246408601785,00:00
